QU_ID,QU_CONTENT,QU_OPTION1,QU_OPTION2,QU_OPTION3,QU_OPTION4,QU_ANSWER,QU_EXPLAIN,QU_TYPE,TP_ID,DIFFICULT_LEVEL
256,"The couple were so busy with their careers that they had no time for each other, that’s when they started to _______. ",drift away ,drift out ,drift off ,drift apart,4,giải thích,1,5,1
257,"Although we had told them not to keep us waiting, they made no _____ to speed up deliveries. ",comment ,action,attempt ,progress ,3,giải thích,1,6,1
258,You really dropped _____ the other day when you told Brian you’d seen his wife at the cinema. He thought she was at her mother’s. ,a plank ,a log ,a brick ,a stone ,3,giải thích,1,6,1
259,"I can’t possibly lend you any more money, it is quite out of the _____. """,place ,question ,order,practice ,2,giải thích,1,5,1
260,"When a fire broke out in the Louvre, at least twenty ______ paintings were destroyed, including two by Van Gogh. ",worthy ,priceless,worthless,valueless ,2,giải thích,1,7,1
261,"_____only in the Andes, the plant is used by local people to treat skin diseases. ",Finding,Found,Having found ,Founded,2,giải thích,1,6,1
262,"If the world’s tropical forests continue to disappear at their present rate, many animal species _____ extinct.",would become ,would have become ,became ,will become ,4,giải thích,1,6,1
263,"Half the way of the trip, we stopped _____ and let the others _____ up with us.",to rest/catch ,resting/catch ,resting/to catch ,to rest/to catch ,1,giải thích,1,4,1
264,"______ get older, the games they play become increasingly complex. ",For children to,"Children, when ",Although children ,As children ,4,giải thích,1,4,1
265,My mother _____ strawberries for years but she has never had such a good crop before.,had grown ,is growing ,grew ,has been growing ,4,giải thích,1,7,1
266,Your mother _____ read a bit of a letter you received because she opened it without looking at the name on the envelope. ,silently ,intentionally,deliberately,accidentally ,4,giải thích,1,6,1
267,It was not until the end of the nineteenth century ______. ,did plant breeding become a scientific discipline ,that plant breeding became a scientific discipline ,that a scientific discipline was plant breeding ,did a scientific discipline become plant breeding ,2,giải thích,1,7,1
268,"“Did you have ______ nice holiday?” – “Yes, it was ______ best holiday I have ever had.” ",a – the ,the – the ,the – a ,a – a ,1,giải thích,1,6,1
269,The equator is an ______ line that divides the Earth into two.,imaginable ,imaginary ,imagination ,imaginative ,2,giải thích,1,4,1
270,This survey is to find out the young people’s attitudes _______ love. ,into ,with ,for,toward ,4,giải thích,1,4,1
271,Bodies of ______ dead in the tragic accident yesterday were taken away. ,the ,a ,an ,Ø ,1,giải thích,1,4,1
272,"If you ______ English in everyday conversations, you’ll speak it fluently. ",use ,will use ,would use ,used,1,giải thích,1,5,1
273,John could not talk to you when you phoned him yesterday as he ______ a bath. ,took ,had taken ,was taking ,would take ,3,giải thích,1,7,1
274,Her eyes are red and puffy ______ she has been crying a lot. ,although,since ,because of ,despite,2,giải thích,1,6,1
275,"Jonas worked really hard throughout the term, so it was not merely ______ chance that he got straight A’s. ",off ,from ,by,in ,3,giải thích,1,4,1
276,"_______ toward shore, its shape is changed by its collision with the shallow sea bottom. ",During a wave rolls ,As a wave rolls ,A wave rolls ,A wave’s rolling ,2,giải thích,1,5,1
277,"_______ with the size of the whole earth, the highest mountain does not seem high at all. ",When compared ,On comparing ,Having compared ,To compare ,1,giải thích,1,6,1
278,Most teachers tend to detest ______ during classes. ,interrupting ,being interrupted ,to interrupt ,to be interrupted ,2,giải thích,1,5,1
279,"Although Ariel arrived ______, we made her welcome just the same as everyone else. ",expect ,unexpectedly ,unexpected ,expectation ,2,giải thích,1,5,1
280,"Please ______ the milk carefully, I don’t want it to boil over.""",look at ,notice ,watch,examine ,3,giải thích,1,7,1
281,"These days, housework has been made much easier by electrical ______. ",machinery ,appliances ,instruments,equipment ,2,giải thích,1,4,1
282,The island where these rare birds nest has been declared a(n) ______ where poaching is prohibited. ,observation ,reservation,preservation,conservation ,2,giải thích,1,5,1
283,The play is quite suitable for children to see as there is nothing ______ in it. ,exceptional ,excessive ,exceptionable ,offended,3,giải thích,1,6,1
284,______ drugs are highly addictive and can have unpredictable side effects. ,Designer ,Maker,Composer ,Mixer,1,giải thích,1,6,1
285,_____ non–verbal language is ______ important aspect of interpersonal communication. ,a/ an ,Ø/ an,Ø/ the ,the/ an ,2,giải thích,1,4,1
286,"He refused to ______ to the local customs, which caused him a lot of troubles. ",conform ,resist ,hinder ,obey,1,giải thích,1,6,1
287,"We decided not to travel, ______ the terrible weather forecast. ",having been heard ,to have heard ,having heard ,to have been heard ,3,giải thích,1,7,1
288,"The world’s biodiversity is declining at an unprecedented rate, which makes wildlife _____. ",perfect ,remained ,prosperous ,vulnerable ,4,giải thích,1,7,1
289,"I caught ______ of a lion lying under the tree, and my heart jumped.",sight,scene ,view ,look ,1,giải thích,1,6,1
290,We always unite and work together whenever serious problems ______. ,devise ,encounter ,arise ,approach ,3,giải thích,1,6,1
291,"The school drama club is _______ a play for the school’s anniversary, which is due to take place next month. ",bringing down ,making off ,turning up ,putting on ,4,giải thích,1,6,1
292,My daughter often says that she won’t get married until she _____ 25 years old. ,will be ,is,has been ,will have been ,2,giải thích,1,5,1
293,"______ busy she is, she manages to pick her children up after school every day. ",Despite ,Because ,Although ,However ,4,giải thích,1,7,1
294,You can’t believe a word that woman says – she is ____ liar. ,dedicated ,committed ,compulsive ,devoted,3,giải thích,1,5,1
295,Some must have taken my keys. I clearly remember ______ them by the window and now they are nowhere to be seen. ,to be leaving ,to have left ,to leave ,leaving ,4,giải thích,1,6,1
296,I don’t like John. His ______ complaints make me angry.,continuation ,continuously ,continuous ,continual ,4,giải thích,1,6,1
297,"If you _____ to my advice in the first place, you wouldn’t be in this mess right now.",will listen ,listened ,had listened ,listen,3,giải thích,1,4,1
298,There can be no _____ fixes or magic solutions to the problem of unemployment. ,quick ,sudden ,speedy ,fast ,1,giải thích,1,7,1
693,123,12,2,3,4,1,ad,1,1,1
694,sa1df,f,We havss,"Yes, she went to the doctor",3.num14,2,explain,1,7,1
695,sadf2q,f,We havss,"Yes, she went to the doctor",3.num14,2,explain,1,7,1
696,sadfq31,f,We havss,"Yes, she went to the doctor",3.num14,2,explain,1,7,1
